#{"t_start": 1777634231.6899936, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
-3.9,11,122.782485
-0.2,14,122.873103
-3.4,15,122.958522
0.25,21,123.08819
-4.3,4,123.111027
8.2,33,123.324276
-3.3,4,123.355646
-5.6,17,123.464305
-3.45,6,123.503865
-2.8,9,123.607413
0.1,12,123.786207
-9.2,63,124.91977
0.2,12,125.011665
-1.6,7,125.051556
-4.05,12,125.128118
-3.85,11,125.212439
3.15,13,125.314177
-3.85,30,125.503729
18.3,46,125.777207
-3.3,5,125.805061
-7.3,34,128.611115
-2.3,5,128.650316
2.45,19,128.759533
-0.7,9,128.820351
0.35,9,128.883465
4.85,28,129.073243
-4.4,5,129.111017
11.3,74,129.556794
10.15,33,129.78108
-0.45,6,129.820818
1.5,18,129.943116
-3.4,5,129.971715
-4.1,12,130.058885
-1.5,7,130.100258
-2.35,5,130.131297
-2.95,11,130.209114
5.45,29,130.4023
2.35,10,130.792655
-0.7,10,130.87231
-4.2,3,130.899636
-1.7,8,130.952586
4.8,24,131.104042
6.0,33,131.315797
17.85,49,131.678631
-2.25,4,131.725791
11.8,38,132.042419
-3.0,11,132.150694
1.65,16,132.282734
-0.4,6,132.326083
7.95,23,135.130076
0.55,7,135.182076
-4.3,4,135.214329
3.25,32,135.416055
-4.5,6,135.450791
-0.4,7,135.499385
1.25,11,135.565851
-6.2,23,135.713554
2.95,14,135.79383
-1.8,11,135.867953
-3.8,9,135.92897
5.95,35,136.166457
1.85,33,136.374752
-2.45,6,136.422543
-3.15,3,136.448117
-2.25,4,136.477469
-3.15,15,136.571911
-3.15,3,136.591323
6.75,36,136.820358
-2.0,11,136.906521
-4.1,2,136.939997
-4.2,3,137.265912
12.95,37,137.544498
4.5,30,137.742008
-4.5,6,137.780013
-1.85,11,137.843685
-0.45,6,137.885958
0.5,8,137.939764
3.7,15,138.034821
-3.55,7,138.085122
-3.2,3,138.10772
3.55,19,138.237602
-4.3,4,138.261306
-4.4,5,138.297601
